x,y,z,pot
-191.2674,11.4253,-840.1028,0.097267
-190.0204,11.3399,-839.1536,0.097493
-188.7762,11.2566,-838.2014,0.097719
-187.5346,11.1753,-837.2462,0.097945
-186.2953,11.0938,-836.2883,0.098171
-185.0583,11.0108,-835.3283,0.098396
-183.8238,10.9283,-834.3662,0.098622
-182.5916,10.8461,-833.4017,0.098848
-181.3618,10.7659,-832.4346,0.099074
-180.1344,10.6851,-831.4651,0.099299
-178.9091,10.6038,-830.4935,0.099525
-177.6861,10.5220,-829.5198,0.099750
-176.4655,10.4399,-828.5438,0.099976
-175.2476,10.3580,-827.5652,0.100201
-174.0325,10.2773,-826.5838,0.100426
-172.8200,10.1979,-825.5999,0.100652
-171.6101,10.1199,-824.6131,0.100877
-170.4027,10.0429,-823.6239,0.101102
-169.1977,9.9662,-822.6325,0.101327
-167.9954,9.8902,-821.6385,0.101552
-166.7959,9.8152,-820.6418,0.101777
-165.5990,9.7411,-819.6425,0.102002
-164.4055,9.6705,-818.6405,0.102227
-163.2147,9.6014,-817.6354,0.102451
-162.0262,9.5326,-816.6279,0.102676
-160.8398,9.4610,-815.6188,0.102900
-159.6556,9.3855,-814.6080,0.103125
-158.4743,9.3084,-813.5948,0.103349
-157.2966,9.2328,-812.5783,0.103574
-156.1223,9.1597,-811.5584,0.103798
-154.9512,9.0883,-810.5353,0.104022
-153.7831,9.0165,-809.5092,0.104247
-152.6180,8.9448,-808.4805,0.104471
-151.4556,8.8728,-807.4492,0.104695
-150.2963,8.8014,-806.4153,0.104919
-149.1399,8.7294,-805.3787,0.105143
-147.9865,8.6567,-804.3395,0.105367
-146.8366,8.5847,-803.2972,0.105590
-145.6898,8.5120,-802.2520,0.105814
-144.5466,8.4400,-801.2035,0.106038
-143.4068,8.3671,-800.1519,0.106262
-142.2707,8.2940,-799.0970,0.106485
-141.1382,8.2201,-798.0388,0.106709
-140.0093,8.1455,-796.9774,0.106932
-138.8841,8.0711,-795.9128,0.107156
-137.7628,7.9972,-794.8449,0.107379
-136.6451,7.9244,-793.7736,0.107602
-135.5307,7.8516,-792.6993,0.107825
-134.4195,7.7791,-791.6225,0.108049
-133.3109,7.7059,-790.5434,0.108272
-132.2052,7.6332,-789.4619,0.108495
-131.1022,7.5604,-788.3783,0.108718
-130.0017,7.4876,-787.2926,0.108941
-128.9037,7.4143,-786.2048,0.109164
-127.8081,7.3404,-785.1152,0.109386
-126.7149,7.2660,-784.0239,0.109609
-125.6242,7.1916,-782.9307,0.109832
-124.5360,7.1175,-781.8354,0.110055
-123.4500,7.0432,-780.7383,0.110277
-122.3665,6.9688,-779.6393,0.110500
-121.2851,6.8934,-778.5388,0.110722
-120.2060,6.8176,-777.4365,0.110945
-119.1292,6.7411,-776.3326,0.111167
-118.0545,6.6638,-775.2270,0.111390
-116.9822,6.5867,-774.1196,0.111612
-115.9121,6.5090,-773.0106,0.111834
-114.8444,6.4320,-771.8998,0.112056
-113.7788,6.3549,-770.7874,0.112279
-112.7155,6.2778,-769.6732,0.112501
-111.6544,6.2009,-768.5574,0.112723
-110.5955,6.1236,-767.4399,0.112945
-109.5385,6.0459,-766.3210,0.113167
-108.4834,5.9673,-765.2007,0.113389
-107.4307,5.8881,-764.0789,0.113611
-106.3801,5.8081,-762.9552,0.113833
-105.3318,5.7282,-761.8300,0.114054
-104.2856,5.6484,-760.7034,0.114276
-103.2415,5.5692,-759.5751,0.114498
-102.1995,5.4902,-758.4451,0.114720
-101.1596,5.4106,-757.3137,0.114941
-100.1219,5.3306,-756.1806,0.115163
-99.0863,5.2506,-755.0460,0.115385
-98.0529,5.1718,-753.9100,0.115606
-97.0213,5.0937,-752.7725,0.115828
-95.9918,5.0163,-751.6335,0.116049
-94.9641,4.9384,-750.4932,0.116270
-93.9386,4.8605,-749.3514,0.116492
-92.9150,4.7821,-748.2086,0.116713
-91.8932,4.7033,-747.0646,0.116934
-90.8731,4.6239,-745.9199,0.117156
-89.8547,4.5434,-744.7745,0.117377
-88.8379,4.4630,-743.6287,0.117598
-87.8225,4.3824,-742.4825,0.117819
-86.8084,4.3018,-741.3365,0.118039
-85.7951,4.2212,-740.1910,0.118260
-84.7825,4.1400,-739.0460,0.118480
-83.7708,4.0601,-737.9015,0.118701
-82.7597,3.9805,-736.7576,0.118921
-81.7492,3.9020,-735.6146,0.119141
-80.7392,3.8235,-734.4722,0.119361
-79.7300,3.7451,-733.3304,0.119581
-78.7215,3.6668,-732.1893,0.119800
-77.7138,3.5881,-731.0486,0.120020
-76.7070,3.5093,-729.9086,0.120239
-75.7010,3.4299,-728.7692,0.120459
-74.6959,3.3506,-727.6305,0.120678
-73.6915,3.2724,-726.4923,0.120897
-72.6879,3.1942,-725.3547,0.121116
-71.6850,3.1152,-724.2178,0.121334
-70.6827,3.0348,-723.0816,0.121553
-69.6809,2.9542,-721.9465,0.121771
-68.6794,2.8744,-720.8125,0.121989
-67.6782,2.7958,-719.6796,0.122208
-66.6772,2.7174,-718.5475,0.122426
-65.6765,2.6394,-717.4167,0.122643
-64.6760,2.5615,-716.2869,0.122861
-63.6757,2.4840,-715.1583,0.123079
-62.6754,2.4066,-714.0309,0.123296
-61.6752,2.3287,-712.9048,0.123513
-60.6754,2.2510,-711.7798,0.123730
-59.6761,2.1732,-710.6556,0.123947
-58.6774,2.0955,-709.5322,0.124164
