x_right,z_right,x_left,z_left
-367.2779,-930.8361,-360.6939,-945.3887
-365.8659,-930.2690,-359.2786,-944.7467
-364.4393,-929.6845,-357.8611,-944.0721
-362.9966,-929.1055,-356.4159,-943.4148
-361.5459,-928.5123,-354.9547,-942.7538
-360.0896,-927.9170,-353.4941,-942.0530
-358.7307,-927.3739,-352.1195,-941.4319
-357.3605,-926.8133,-350.7464,-940.7732
-355.9826,-926.2648,-349.3444,-940.1351
-354.5963,-925.7005,-347.9438,-939.4672
-353.1902,-925.1401,-346.5179,-938.8251
-351.7837,-924.5679,-345.1010,-938.1428
-350.3843,-924.0118,-343.6691,-937.4908
-348.9971,-923.4494,-342.2594,-936.7933
-347.5880,-922.8780,-340.8331,-936.1163
-346.1588,-922.3088,-339.4121,-935.4084
-344.7327,-921.7303,-337.9704,-934.7132
-343.2904,-921.1567,-336.5134,-934.0227
-341.8373,-920.5665,-335.0607,-933.3013
-340.3721,-919.9688,-333.5874,-932.5941
-338.8926,-919.3793,-332.1189,-931.8512
-337.5285,-918.8356,-330.7540,-931.1819
-336.1571,-918.2737,-329.3914,-930.4879
-334.7673,-917.7192,-328.0106,-929.8060
-333.3705,-917.1477,-326.6324,-929.1003
-331.9615,-916.5719,-325.2373,-928.4034
-330.5372,-915.9955,-323.8393,-927.6911
-329.1029,-915.4026,-322.4288,-926.9834
-327.6490,-914.8066,-321.0090,-926.2757
-326.1884,-914.1975,-319.5758,-925.5720
-324.7110,-913.5822,-318.1313,-924.8720
-323.2278,-912.9525,-316.6857,-924.1561
-321.7313,-912.3216,-315.2290,-923.4421
-320.2300,-911.6748,-313.7672,-922.7194
-318.7204,-911.0215,-312.2803,-922.0205
-317.2007,-910.3672,-310.7827,-921.3215
-315.8159,-909.7598,-309.4135,-920.6852
-314.4229,-909.1525,-308.0335,-920.0514
-313.0284,-908.5318,-306.6528,-919.4043
-311.6229,-907.9120,-305.2636,-918.7568
-310.2150,-907.2776,-303.8691,-918.1063
-308.7978,-906.6459,-302.4719,-917.4482
-307.3805,-906.0006,-301.0648,-916.7910
-305.9585,-905.3488,-299.6531,-916.1245
-304.5261,-904.6963,-298.2349,-915.4584
-303.0928,-904.0302,-296.8140,-914.7846
-301.6505,-903.3676,-295.3851,-914.1078
-300.2085,-902.6919,-293.9491,-913.4275
-298.7612,-902.0200,-292.5114,-912.7379
-297.3228,-901.3380,-291.0715,-912.0525
-295.8876,-900.6542,-289.6378,-911.3580
-294.4508,-899.9731,-288.2041,-910.6648
-293.0197,-899.2814,-286.7706,-909.9626
-291.5814,-898.5918,-285.3396,-909.2454
-290.1457,-897.8882,-283.9009,-908.5267
-288.7056,-897.1793,-282.4603,-907.8001
-287.2579,-896.4719,-281.0155,-907.0708
-285.8121,-895.7508,-279.5673,-906.3368
-284.3614,-895.0290,-278.1179,-905.5929
-282.9078,-894.3008,-276.6620,-904.8485
-281.4527,-893.5640,-275.2051,-904.0943
-279.9999,-892.8115,-273.7446,-903.3374
-278.5512,-892.0453,-272.2795,-902.5767
-277.1061,-891.2696,-270.8134,-901.8007
-275.6533,-890.5014,-269.3379,-901.0230
-274.2042,-889.7191,-267.8645,-900.2307
-272.7511,-888.9306,-266.3910,-899.4360
-271.2895,-888.1453,-264.9168,-898.6378
-269.9802,-887.4259,-263.5899,-897.9067
-268.6600,-886.7114,-262.2638,-897.1779
-267.3443,-885.9819,-260.9395,-896.4395
-266.0191,-885.2627,-259.6134,-895.6985
-264.6996,-884.5273,-258.2865,-894.9573
-263.3762,-883.7920,-256.9654,-894.2002
-262.0512,-883.0564,-255.6363,-893.4423
-260.7328,-882.3095,-254.3089,-892.6663
-259.4114,-881.5641,-252.9765,-891.8855
-258.0948,-880.8033,-251.6450,-891.0991
-256.7706,-880.0476,-250.3129,-890.3089
-255.4532,-879.2745,-248.9784,-889.5176
-254.1258,-878.5106,-247.6443,-888.7222
-252.8067,-877.7291,-246.3080,-887.9232
-251.4774,-876.9597,-244.9663,-887.1246
-250.1553,-876.1728,-243.6242,-886.3225
-248.8314,-875.3834,-242.2766,-885.5239
-247.5046,-874.5937,-240.9417,-884.6998
-246.1844,-873.7865,-239.6041,-883.8774
-244.8548,-872.9867,-238.2728,-883.0444
-243.5328,-872.1685,-236.9419,-882.2101
-242.2000,-871.3634,-235.6097,-881.3702
-240.8755,-870.5409,-234.2776,-880.5255
-239.5503,-869.7149,-232.9440,-879.6777
-238.2165,-868.8963,-231.6194,-878.8135
-236.8905,-868.0607,-230.2935,-877.9485
-235.5647,-867.2200,-228.9731,-877.0724
-234.2321,-866.3846,-227.6549,-876.1922
-232.9076,-865.5335,-226.3393,-875.3087
-231.5785,-864.6898,-225.0290,-874.4128
-230.2610,-863.8305,-223.7156,-873.5157
-228.9366,-862.9813,-222.4077,-872.6109
-227.6241,-862.1158,-221.1007,-871.7033
-226.3138,-861.2457,-219.7977,-870.7942
-224.9980,-860.3838,-218.5008,-869.8786
-223.6950,-859.5064,-217.2019,-868.9613
-222.3861,-858.6404,-215.9034,-868.0391
-221.0892,-857.7574,-214.6066,-867.1153
-219.7946,-856.8716,-213.3104,-866.1909
-218.4943,-855.9941,-212.0181,-865.2621
-217.2051,-855.1009,-210.7267,-864.3324
-215.9078,-854.2178,-209.4386,-863.4029
-214.6224,-853.3190,-208.1532,-862.4685
-213.3389,-852.4184,-206.8682,-861.5341
-212.0482,-851.5283,-205.5852,-860.5976
-210.7690,-850.6222,-204.3042,-859.6604
-209.4817,-849.7286,-203.0232,-858.7216
-208.2064,-848.8195,-201.7437,-857.7808
-206.9200,-847.9253,-200.4647,-856.8412
-205.6447,-847.0161,-199.1910,-855.8959
-204.3707,-846.1060,-197.9158,-854.9517
-203.0862,-845.2109,-196.6445,-854.0031
-201.8133,-844.2988,-195.3748,-853.0570
-200.5291,-843.4034,-194.1078,-852.1061
-199.2568,-842.4926,-192.8405,-851.1553
-197.9751,-841.5966,-191.5749,-850.1993
-196.7051,-840.6852,-190.3101,-849.2426
-195.4357,-839.7735,-189.0459,-848.2859
-194.1556,-838.8760,-187.7891,-847.3204
-192.8883,-837.9624,-186.5309,-846.3575
-191.6113,-837.0635,-185.2764,-845.3863
-190.3478,-836.1480,-184.0210,-844.4148
-189.0804,-835.2370,-182.7698,-843.4398
-187.8070,-834.3325,-181.5213,-842.4649
-186.5431,-833.4152,-180.2762,-841.4900
-185.2788,-832.4992,-179.0367,-840.5089
-184.0269,-831.5679,-177.7960,-839.5284
-182.7734,-830.6398,-176.5585,-838.5421
-181.5344,-829.6925,-175.3232,-837.5564
-180.3035,-828.7351,-174.0903,-836.5702
-179.0689,-827.7828,-172.8641,-835.5770
-177.8490,-826.8137,-171.6357,-834.5840
-176.6175,-825.8603,-170.4104,-833.5851
